study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB14744	SAMEA4083695	ERS1254805	ERX1607157	ERR1536329	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1536329/ERR1536329.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1536329/ERR1536329.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GBX2_ESAE_TGATTT20NGA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GBX2_ESAE_TGATTT20NGA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1536329	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1536329		
PRJEB14744	SAMEA4083696	ERS1254806	ERX1607158	ERR1536330	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1536330/ERR1536330.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1536330/ERR1536330.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GBX2_ESAE_TGATTT20NGA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GBX2_ESAE_TGATTT20NGA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/000/ERR1536330	ftp.sra.ebi.ac.uk/vol1/err/ERR153/000/ERR1536330		
PRJEB14744	SAMEA4083697	ERS1254807	ERX1607159	ERR1536331	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1536331/ERR1536331.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1536331/ERR1536331.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GBX2_ESY_TCCCGA20NGCC_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GBX2_ESY_TCCCGA20NGCC_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/001/ERR1536331	ftp.sra.ebi.ac.uk/vol1/err/ERR153/001/ERR1536331		
PRJEB14744	SAMEA4083698	ERS1254808	ERX1607160	ERR1536332	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1536332/ERR1536332.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1536332/ERR1536332.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GBX2_ESY_TCCCGA20NGCC_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GBX2_ESY_TCCCGA20NGCC_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/002/ERR1536332	ftp.sra.ebi.ac.uk/vol1/err/ERR153/002/ERR1536332		
PRJEB14744	SAMEA4083699	ERS1254809	ERX1607161	ERR1536333	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1536333/ERR1536333.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1536333/ERR1536333.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GBX2_ESY_TCCCGA20NGCC_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GBX2_ESY_TCCCGA20NGCC_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/003/ERR1536333	ftp.sra.ebi.ac.uk/vol1/err/ERR153/003/ERR1536333		
PRJEB14744	SAMEA4083700	ERS1254810	ERX1607162	ERR1536334	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1536334/ERR1536334.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1536334/ERR1536334.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GBX2_ESY_TCCCGA20NGCC_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GBX2_ESY_TCCCGA20NGCC_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1536334	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1536334		
PRJEB14744	SAMEA4083701	ERS1254811	ERX1607163	ERR1536335	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1536335/ERR1536335.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1536335/ERR1536335.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/Gbx2_ESZ_TACACC20NCAC_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/Gbx2_ESZ_TACACC20NCAC_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/005/ERR1536335	ftp.sra.ebi.ac.uk/vol1/err/ERR153/005/ERR1536335		
PRJEB14744	SAMEA4083702	ERS1254812	ERX1607164	ERR1536336	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1536336/ERR1536336.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1536336/ERR1536336.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/Gbx2_ESZ_TACACC20NCAC_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/Gbx2_ESZ_TACACC20NCAC_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/006/ERR1536336	ftp.sra.ebi.ac.uk/vol1/err/ERR153/006/ERR1536336		
PRJEB14744	SAMEA4083703	ERS1254813	ERX1607165	ERR1536337	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1536337/ERR1536337.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1536337/ERR1536337.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/Gbx2_ESZ_TACACC20NCAC_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/Gbx2_ESZ_TACACC20NCAC_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/007/ERR1536337	ftp.sra.ebi.ac.uk/vol1/err/ERR153/007/ERR1536337		
PRJEB14744	SAMEA4083704	ERS1254814	ERX1607166	ERR1536338	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1536338/ERR1536338.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1536338/ERR1536338.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/Gbx2_ESZ_TACACC20NCAC_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/Gbx2_ESZ_TACACC20NCAC_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/008/ERR1536338	ftp.sra.ebi.ac.uk/vol1/err/ERR153/008/ERR1536338		
PRJEB14744	SAMEA4083705	ERS1254815	ERX1607167	ERR1536339	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1536339/ERR1536339.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1536339/ERR1536339.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESAE_TCCAGT20NGAC_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESAE_TCCAGT20NGAC_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1536339	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1536339		
PRJEB14744	SAMEA4083706	ERS1254816	ERX1607168	ERR1536340	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1536340/ERR1536340.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1536340/ERR1536340.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESAE_TCCAGT20NGAC_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESAE_TCCAGT20NGAC_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/000/ERR1536340	ftp.sra.ebi.ac.uk/vol1/err/ERR153/000/ERR1536340		
PRJEB14744	SAMEA4083707	ERS1254817	ERX1607169	ERR1536341	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1536341/ERR1536341.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1536341/ERR1536341.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESAE_TCCAGT20NGAC_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESAE_TCCAGT20NGAC_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/001/ERR1536341	ftp.sra.ebi.ac.uk/vol1/err/ERR153/001/ERR1536341		
PRJEB14744	SAMEA4083708	ERS1254818	ERX1607170	ERR1536342	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1536342/ERR1536342.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1536342/ERR1536342.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESAE_TCCAGT20NGAC_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESAE_TCCAGT20NGAC_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/002/ERR1536342	ftp.sra.ebi.ac.uk/vol1/err/ERR153/002/ERR1536342		
PRJEB14744	SAMEA4083709	ERS1254819	ERX1607171	ERR1536343	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1536343/ERR1536343.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1536343/ERR1536343.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESY_TGAGCA20NCGA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESY_TGAGCA20NCGA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/003/ERR1536343	ftp.sra.ebi.ac.uk/vol1/err/ERR153/003/ERR1536343		
PRJEB14744	SAMEA4083710	ERS1254820	ERX1607172	ERR1536344	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1536344/ERR1536344.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1536344/ERR1536344.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESY_TGAGCA20NCGA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESY_TGAGCA20NCGA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1536344	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1536344		
PRJEB14744	SAMEA4083711	ERS1254821	ERX1607173	ERR1536345	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1536345/ERR1536345.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1536345/ERR1536345.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESY_TGAGCA20NCGA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESY_TGAGCA20NCGA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/005/ERR1536345	ftp.sra.ebi.ac.uk/vol1/err/ERR153/005/ERR1536345		
PRJEB14744	SAMEA4083712	ERS1254822	ERX1607174	ERR1536346	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1536346/ERR1536346.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1536346/ERR1536346.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESY_TGAGCA20NCGA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM1_ESY_TGAGCA20NCGA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/006/ERR1536346	ftp.sra.ebi.ac.uk/vol1/err/ERR153/006/ERR1536346		
PRJEB14744	SAMEA4083713	ERS1254823	ERX1607175	ERR1536347	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1536347/ERR1536347.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1536347/ERR1536347.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM2_ESY_TGACTC20NTCA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM2_ESY_TGACTC20NTCA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/007/ERR1536347	ftp.sra.ebi.ac.uk/vol1/err/ERR153/007/ERR1536347		
PRJEB14744	SAMEA4083714	ERS1254824	ERX1607176	ERR1536348	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1536348/ERR1536348.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1536348/ERR1536348.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM2_ESY_TGACTC20NTCA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM2_ESY_TGACTC20NTCA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/008/ERR1536348	ftp.sra.ebi.ac.uk/vol1/err/ERR153/008/ERR1536348		
PRJEB14744	SAMEA4083715	ERS1254825	ERX1607177	ERR1536349	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1536349/ERR1536349.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1536349/ERR1536349.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM2_ESY_TGACTC20NTCA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM2_ESY_TGACTC20NTCA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1536349	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1536349		
PRJEB14744	SAMEA4083716	ERS1254826	ERX1607178	ERR1536350	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1536350/ERR1536350.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1536350/ERR1536350.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM2_ESY_TGACTC20NTCA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GCM2_ESY_TGACTC20NTCA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/000/ERR1536350	ftp.sra.ebi.ac.uk/vol1/err/ERR153/000/ERR1536350		
PRJEB14744	SAMEA4083717	ERS1254827	ERX1607179	ERR1536351	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1536351/ERR1536351.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1536351/ERR1536351.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLI2_ESAI_TAAGTA40NTGA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLI2_ESAI_TAAGTA40NTGA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/001/ERR1536351	ftp.sra.ebi.ac.uk/vol1/err/ERR153/001/ERR1536351		
PRJEB14744	SAMEA4083718	ERS1254828	ERX1607180	ERR1536352	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1536352/ERR1536352.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1536352/ERR1536352.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLI2_ESAI_TAAGTA40NTGA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLI2_ESAI_TAAGTA40NTGA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/002/ERR1536352	ftp.sra.ebi.ac.uk/vol1/err/ERR153/002/ERR1536352		
PRJEB14744	SAMEA4083719	ERS1254829	ERX1607181	ERR1536353	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1536353/ERR1536353.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1536353/ERR1536353.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLI2_ESAI_TAAGTA40NTGA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLI2_ESAI_TAAGTA40NTGA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/003/ERR1536353	ftp.sra.ebi.ac.uk/vol1/err/ERR153/003/ERR1536353		
PRJEB14744	SAMEA4083720	ERS1254830	ERX1607182	ERR1536354	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1536354/ERR1536354.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1536354/ERR1536354.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLI2_ESAI_TAAGTA40NTGA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLI2_ESAI_TAAGTA40NTGA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1536354	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1536354		
PRJEB14744	SAMEA4083721	ERS1254831	ERX1607183	ERR1536355	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1536355/ERR1536355.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1536355/ERR1536355.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLIS2_ESY_TACTAT20NATC_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLIS2_ESY_TACTAT20NATC_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/005/ERR1536355	ftp.sra.ebi.ac.uk/vol1/err/ERR153/005/ERR1536355		
PRJEB14744	SAMEA4083722	ERS1254832	ERX1607184	ERR1536356	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1536356/ERR1536356.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1536356/ERR1536356.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLIS2_ESY_TACTAT20NATC_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLIS2_ESY_TACTAT20NATC_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/006/ERR1536356	ftp.sra.ebi.ac.uk/vol1/err/ERR153/006/ERR1536356		
PRJEB14744	SAMEA4083723	ERS1254833	ERX1607185	ERR1536357	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1536357/ERR1536357.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1536357/ERR1536357.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLIS2_ESY_TACTAT20NATC_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLIS2_ESY_TACTAT20NATC_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/007/ERR1536357	ftp.sra.ebi.ac.uk/vol1/err/ERR153/007/ERR1536357		
PRJEB14744	SAMEA4083724	ERS1254834	ERX1607186	ERR1536358	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1536358/ERR1536358.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1536358/ERR1536358.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLIS2_ESY_TACTAT20NATC_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GLIS2_ESY_TACTAT20NATC_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/008/ERR1536358	ftp.sra.ebi.ac.uk/vol1/err/ERR153/008/ERR1536358		
PRJEB14744	SAMEA4083725	ERS1254835	ERX1607187	ERR1536359	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1536359/ERR1536359.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1536359/ERR1536359.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GMEB2_ESY_TCGCGC20NGA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GMEB2_ESY_TCGCGC20NGA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1536359	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1536359		
PRJEB14744	SAMEA4083726	ERS1254836	ERX1607188	ERR1536360	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1536360/ERR1536360.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1536360/ERR1536360.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GMEB2_ESY_TCGCGC20NGA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GMEB2_ESY_TCGCGC20NGA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/000/ERR1536360	ftp.sra.ebi.ac.uk/vol1/err/ERR153/000/ERR1536360		
PRJEB14744	SAMEA4083727	ERS1254837	ERX1607189	ERR1536361	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1536361/ERR1536361.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1536361/ERR1536361.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GMEB2_ESY_TCGCGC20NGA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GMEB2_ESY_TCGCGC20NGA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/001/ERR1536361	ftp.sra.ebi.ac.uk/vol1/err/ERR153/001/ERR1536361		
PRJEB14744	SAMEA4083728	ERS1254838	ERX1607190	ERR1536362	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1536362/ERR1536362.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1536362/ERR1536362.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GMEB2_ESY_TCGCGC20NGA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GMEB2_ESY_TCGCGC20NGA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/002/ERR1536362	ftp.sra.ebi.ac.uk/vol1/err/ERR153/002/ERR1536362		
PRJEB14744	SAMEA4083729	ERS1254839	ERX1607191	ERR1536363	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1536363/ERR1536363.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1536363/ERR1536363.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GRHL1_ESQ_TCCAAC20NTA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GRHL1_ESQ_TCCAAC20NTA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/003/ERR1536363	ftp.sra.ebi.ac.uk/vol1/err/ERR153/003/ERR1536363		
PRJEB14744	SAMEA4083730	ERS1254840	ERX1607192	ERR1536364	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1536364/ERR1536364.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1536364/ERR1536364.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GRHL1_ESQ_TCCAAC20NTA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675853/fastq/GRHL1_ESQ_TCCAAC20NTA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1536364	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1536364		
